Date  ,Open,High,Low ,Close
24-Jun-21,2206.85,2214.60,2140.00,2153.50
25-Jun-21,2153.50,2153.50,2081.10,2104.45
28-Jun-21,2122.00,2126.50,2081.00,2086.00
29-Jun-21,2089.50,2109.00,2084.10,2087.80
30-Jun-21,2096.25,2122.65,2091.05,2110.65
01-Jul-21,2118.00,2123.15,2095.00,2097.95
02-Jul-21,2097.00,2132.90,2092.95,2129.05
05-Jul-21,2136.45,2153.55,2131.50,2150.20
06-Jul-21,2144.95,2148.90,2120.20,2124.80
07-Jul-21,2127.75,2127.75,2098.00,2110.05
08-Jul-21,2116.95,2116.95,2081.00,2092.60
09-Jul-21,2088.00,2091.70,2066.10,2071.20
12-Jul-21,2079.75,2101.50,2074.50,2084.10
13-Jul-21,2100.00,2103.05,2088.05,2099.70
14-Jul-21,2100.35,2106.85,2081.25,2086.00
15-Jul-21,2095.00,2095.00,2078.50,2082.35
16-Jul-21,2087.75,2114.75,2087.60,2112.40
19-Jul-21,2100.00,2124.00,2092.25,2098.95
20-Jul-21,2099.50,2108.00,2084.00,2093.80
22-Jul-21,2119.00,2123.90,2098.15,2120.70
23-Jul-21,2134.45,2134.45,2102.05,2105.70
26-Jul-21,2108.00,2121.00,2071.10,2076.85
27-Jul-21,2076.80,2083.70,2042.00,2055.00
28-Jul-21,2058.00,2058.00,2016.25,2037.35
29-Jul-21,2054.00,2074.40,2043.40,2053.25
30-Jul-21,2058.00,2067.95,2031.10,2035.30
02-Aug-21,2054.30,2079.40,2041.15,2072.50
03-Aug-21,2090.00,2091.00,2064.20,2087.75
04-Aug-21,2094.40,2114.00,2087.00,2103.75
05-Aug-21,2114.30,2154.80,2104.25,2134.25
06-Aug-21,2129.95,2146.95,2078.75,2089.05
09-Aug-21,2081.00,2089.80,2066.50,2077.15
10-Aug-21,2082.00,2113.00,2073.75,2088.05
11-Aug-21,2096.95,2120.00,2083.40,2117.30
12-Aug-21,2124.90,2126.20,2105.00,2110.50
